Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,41.700001,42.320000,41.509998,42.150002,42.150002,276340
2020-11-23,42.459999,43.360001,42.290001,43.060001,43.060001,300717
2020-11-24,42.840000,45.200001,42.820000,44.910000,44.910000,418527
2020-11-25,44.820000,46.259998,44.730000,45.709999,45.709999,417182
2020-11-30,45.340000,45.799999,44.419998,45.340000,45.340000,370755
2020-12-01,45.080002,45.700001,44.119999,44.549999,44.549999,314919
2020-12-02,44.380001,45.919998,43.919998,45.279999,45.279999,368854
2020-12-03,44.990002,45.840000,44.660000,45.639999,45.639999,350768
2020-12-04,45.639999,46.680000,45.610001,46.259998,46.259998,335453
2020-12-07,46.150002,46.540001,45.360001,45.759998,45.759998,348871
2020-12-08,45.660000,45.930000,45.139999,45.599998,45.599998,332641
2020-12-09,45.599998,46.240002,44.950001,45.520000,45.520000,434976
2020-12-10,45.689999,47.740002,45.520000,46.779999,46.779999,447529
2020-12-11,46.970001,47.290001,46.340000,46.570000,46.570000,367305
2020-12-14,46.730000,47.439999,45.689999,46.990002,46.990002,403543
2020-12-15,46.990002,47.730000,46.540001,47.619999,47.619999,311169
2020-12-16,47.599998,47.939999,47.169998,47.820000,47.820000,275331
2020-12-17,47.849998,48.590000,47.810001,48.360001,48.360001,96536
2020-12-18,48.430000,49.279999,48.099998,49.099998,49.099998,83711
2020-12-21,48.540001,48.610001,46.180000,47.740002,47.740002,478098
2020-12-22,47.930000,47.959999,46.599998,47.020000,47.020000,295737
2020-12-23,46.790001,48.500000,46.160000,48.119999,48.119999,344306
2020-12-28,48.230000,48.959999,47.500000,47.619999,47.619999,238462
2020-12-29,47.720001,48.349998,47.680000,48.000000,48.000000,213778
2020-12-30,48.130001,48.660000,47.610001,48.400002,48.400002,266957
2020-12-31,48.349998,48.580002,47.770000,48.520000,48.520000,181894
2021-01-04,48.400002,49.830002,47.180000,47.619999,47.619999,528525
2021-01-05,47.380001,50.200001,47.240002,49.930000,49.930000,643191
2021-01-06,49.820000,50.939999,49.480000,50.630001,50.630001,509365
2021-01-07,50.529999,51.279999,50.389999,50.830002,50.830002,369292
2021-01-08,50.930000,52.750000,50.810001,52.240002,52.240002,499416
2021-01-11,52.580002,52.700001,51.500000,52.250000,52.250000,394822
2021-01-12,52.180000,53.450001,52.070000,53.209999,53.209999,400200
2021-01-13,53.310001,53.930000,52.580002,52.910000,52.910000,429898
2021-01-14,52.840000,53.750000,52.240002,53.570000,53.570000,390087
2021-01-15,53.799999,53.830002,51.830002,52.360001,52.360001,165668
2021-01-19,52.000000,53.130001,51.759998,52.980000,52.980000,125964
2021-01-20,53.130001,53.790001,53.049999,53.240002,53.240002,400301
2021-01-21,52.930000,53.410000,52.750000,53.130001,53.130001,352397
2021-01-22,53.099998,53.160000,51.439999,52.270000,52.270000,437484
2021-01-25,52.169998,52.950001,51.820000,52.770000,52.770000,349076
2021-01-26,52.910000,53.250000,52.290001,52.610001,52.610001,314538
2021-01-27,52.759998,53.299999,51.849998,52.849998,52.849998,442376
2021-01-28,52.650002,53.580002,52.040001,52.340000,52.340000,411406
2021-01-29,52.150002,53.250000,51.930000,52.200001,52.200001,410914
2021-02-01,51.990002,53.740002,51.639999,53.549999,53.549999,416067
2021-02-02,53.480000,55.259998,53.450001,54.759998,54.759998,463718
2021-02-03,55.049999,56.330002,54.810001,55.689999,55.689999,448693
2021-02-04,55.959999,56.580002,55.299999,56.230000,56.230000,381404
2021-02-05,56.459999,57.290001,56.430000,56.849998,56.849998,400833
2021-02-08,57.060001,58.139999,57.000000,57.970001,57.970001,399724
2021-02-09,58.110001,58.619999,57.270000,58.360001,58.360001,514698
2021-02-10,58.450001,58.910000,58.080002,58.680000,58.680000,457535
2021-02-11,58.400002,58.709999,57.840000,58.240002,58.240002,380445
2021-02-12,57.939999,59.820000,57.410000,59.470001,59.470001,480822
2021-02-16,59.980000,60.950001,59.330002,60.049999,60.049999,602332
2021-02-17,60.240002,61.730000,59.430000,61.139999,61.139999,335419
2021-02-18,61.680000,62.259998,59.790001,60.520000,60.520000,132035
2021-02-19,60.200001,60.290001,58.590000,59.240002,59.240002,102427
2021-02-22,58.880001,61.840000,58.820000,61.490002,61.490002,505773
2021-02-23,62.160000,63.000000,60.669998,61.669998,61.669998,570677
2021-02-24,61.290001,63.509998,60.970001,63.220001,63.220001,489933
2021-02-25,63.389999,63.810001,62.650002,63.529999,63.529999,510357
2021-02-26,63.459999,63.570000,61.340000,61.500000,61.500000,472723
2021-03-01,61.950001,62.919998,59.959999,60.639999,60.639999,456679
2021-03-02,60.230000,61.209999,59.380001,59.750000,59.750000,464133
2021-03-03,59.549999,61.990002,59.240002,61.279999,61.279999,465311
2021-03-04,61.080002,64.860001,60.520000,63.830002,63.830002,694628
2021-03-05,64.160004,66.419998,63.820000,66.089996,66.089996,573168
2021-03-08,66.680000,67.980003,64.570000,65.050003,65.050003,533376
2021-03-09,64.730003,65.980003,63.630001,64.010002,64.010002,554564
2021-03-10,63.840000,64.959999,63.130001,64.440002,64.440002,498488
2021-03-11,64.699997,66.209999,64.540001,66.019997,66.019997,441063
2021-03-12,65.959999,66.239998,65.410004,65.610001,65.610001,321714
2021-03-15,65.559998,66.400002,64.129997,65.389999,65.389999,378009
2021-03-16,65.330002,65.430000,63.799999,64.800003,64.800003,317537
2021-03-17,64.750000,65.339996,63.599998,64.599998,64.599998,254724
2021-03-18,64.419998,64.820000,58.200001,60.000000,60.000000,143597
2021-03-19,59.560001,61.720001,58.939999,61.419998,61.419998,84171
2021-03-22,61.549999,61.900002,60.389999,61.549999,61.549999,84171
2021-03-23,57.400002,57.650002,57.290001,57.450001,57.450001,3606
