Date,Open,High,Low,Close,Adj Close,Volume
2020-03-24,3.950000,4.210000,3.890000,4.160000,4.160000,6805600
2020-03-25,4.150000,4.490000,4.040000,4.170000,4.170000,3592100
2020-03-26,4.240000,4.710000,4.240000,4.410000,4.410000,6185700
2020-03-27,4.940000,5.090000,4.150000,4.220000,4.220000,7024800
2020-03-30,4.220000,4.270000,3.650000,3.650000,3.650000,3350600
2020-03-31,3.630000,3.800000,3.500000,3.500000,3.500000,2300900
2020-04-01,3.450000,3.490000,3.120000,3.250000,3.250000,4568700
2020-04-02,3.260000,3.350000,2.850000,2.850000,2.850000,4064300
2020-04-03,2.850000,2.940000,2.570000,2.800000,2.800000,3830400
2020-04-06,2.860000,3.200000,2.830000,3.090000,3.090000,3340500
2020-04-07,3.390000,3.440000,3.100000,3.270000,3.270000,2836900
2020-04-08,3.230000,3.670000,3.200000,3.410000,3.410000,2884500
2020-04-09,3.600000,4.250000,3.490000,3.890000,3.890000,5908600
2020-04-13,4.250000,4.760000,4.160000,4.740000,4.740000,6844500
2020-04-14,5.210000,6.470000,5.140000,5.950000,5.950000,13506600
2020-04-15,5.660000,5.670000,4.900000,5.270000,5.270000,7499900
2020-04-16,5.120000,5.440000,4.880000,5.030000,5.030000,3371900
2020-04-17,5.220000,5.280000,4.430000,4.880000,4.880000,5653200
2020-04-20,4.850000,5.900000,4.780000,5.610000,5.610000,6085000
2020-04-21,5.230000,5.300000,4.760000,4.780000,4.780000,4142100
2020-04-22,5.140000,5.170000,4.830000,4.890000,4.890000,2677800
2020-04-23,4.750000,4.890000,4.580000,4.700000,4.700000,2265900
2020-04-24,4.780000,4.850000,4.660000,4.770000,4.770000,2236200
2020-04-27,4.850000,5.990000,4.810000,5.820000,5.820000,7275100
2020-04-28,5.920000,6.040000,5.060000,5.640000,5.640000,5200200
2020-04-29,5.830000,6.090000,5.450000,6.040000,6.040000,3369600
2020-04-30,5.870000,5.980000,5.640000,5.730000,5.730000,2173300
2020-05-01,5.650000,6.180000,5.450000,6.050000,6.050000,4005600
2020-05-04,5.840000,5.930000,5.400000,5.480000,5.480000,4068100
2020-05-05,5.550000,5.630000,5.350000,5.390000,5.390000,2105900
2020-05-06,5.400000,5.400000,4.900000,4.930000,4.930000,3369600
